Date,HSI
1/6/2021,29468
2/6/2021,29297.61914
3/6/2021,28966.0293
4/6/2021,28918.09961
7/6/2021,28787.2793
8/6/2021,28781.38086
9/6/2021,28742.63086
10/6/2021,28738.88086
11/6/2021,28842.13086
15/6/2021,28638.5293
16/6/2021,28436.83984
17/6/2021,28558.58984
18/6/2021,28801.26953
21/6/2021,28489
22/6/2021,28309.75977
23/6/2021,28817.07031
24/6/2021,28882.46094
25/6/2021,29288.2207
28/6/2021,29268.30078
29/6/2021,28994.09961
30/6/2021,28827.94922
2/7/2021,28310.41992
5/7/2021,28143.5
6/7/2021,28072.85938
7/7/2021,27960.61914
8/7/2021,27153.13086
9/7/2021,27344.53906
12/7/2021,27515.24023
13/7/2021,27963.41016
14/7/2021,27787.46094
15/7/2021,27996.26953
16/7/2021,28004.67969
19/7/2021,27489.7793
20/7/2021,27259.25
21/7/2021,27224.58008
22/7/2021,27723.83984
23/7/2021,27321.98047
26/7/2021,26192.32031
27/7/2021,25086.42969
28/7/2021,25473.88086
29/7/2021,26315.32031
30/7/2021,25961.0293
2/8/2021,26235.80078
3/8/2021,26194.82031
4/8/2021,26426.55078
5/8/2021,26204.68945
6/8/2021,26179.40039
9/8/2021,26283.40039
10/8/2021,26605.61914
11/8/2021,26660.16016
12/8/2021,26517.82031
13/8/2021,26391.61914
16/8/2021,26181.46094
17/8/2021,25745.86914
18/8/2021,25867.00977
19/8/2021,25316.33008
20/8/2021,24849.7207
23/8/2021,25109.58984
24/8/2021,25727.91992
25/8/2021,25693.94922
26/8/2021,25415.68945
27/8/2021,25407.89063
30/8/2021,25539.53906
31/8/2021,25878.99023
1/9/2021,26028.28906
2/9/2021,26090.42969
3/9/2021,25901.99023
6/9/2021,26163.63086
7/9/2021,26353.63086
8/9/2021,26320.92969
9/9/2021,25716
10/9/2021,26205.91016
13/9/2021,25813.81055
14/9/2021,25502.23047
15/9/2021,25033.21094
16/9/2021,24667.84961
17/9/2021,24920.75977
20/9/2021,24099.14063
21/9/2021,24221.53906
23/9/2021,24510.98047
24/9/2021,24192.16016
27/9/2021,24208.7793
28/9/2021,24500.39063
29/9/2021,24663.5
30/9/2021,24575.64063
4/10/2021,24036.36914
5/10/2021,24104.15039
6/10/2021,23966.49023
7/10/2021,24701.73047
8/10/2021,24837.84961
11/10/2021,25325.08984
12/10/2021,24962.58984
15/10/2021,25330.96094
18/10/2021,25409.75
19/10/2021,25787.21094
20/10/2021,26136.01953
21/10/2021,26017.5293
22/10/2021,26126.92969
25/10/2021,26132.0293
26/10/2021,26038.26953
27/10/2021,25628.74023
28/10/2021,25555.73047
29/10/2021,25377.24023
1/11/2021,25154.32031
2/11/2021,25099.66992
3/11/2021,25024.75
4/11/2021,25225.18945
5/11/2021,24870.50977
8/11/2021,24763.76953
9/11/2021,24813.13086
10/11/2021,24996.14063
11/11/2021,25247.99023
12/11/2021,25327.9707
15/11/2021,25390.91016
16/11/2021,25713.7793
17/11/2021,25650.08008
18/11/2021,25319.7207
19/11/2021,25049.9707
22/11/2021,24951.33984
23/11/2021,24651.58008
24/11/2021,24685.5
25/11/2021,24740.16016
26/11/2021,24080.51953
