Date,HIBOR
31/3/2020,1.567451364
30/4/2020,1.601726842
31/5/2020,0.8300025
30/6/2020,0.617641905
31/7/2020,0.327195
31/8/2020,0.254109524
30/9/2020,0.442005
31/10/2020,0.415010556
30/11/2020,0.151584286
31/12/2020,0.231704545
31/1/2021,0.1281135
28/2/2021,0.139864444
31/3/2021,0.145838261
30/4/2021,0.103121579
31/5/2021,0.0827975
30/6/2021,0.089711905
31/7/2021,0.083661905
31/8/2021,0.071786364
30/9/2021,0.064809524
31/10/2021,0.064736111
30/11/2021,0.08057
31/12/2021,0.195027727
31/1/2022,0.154875238
28/2/2022,0.169710588
31/3/2022,0.273532609
30/4/2022,0.197872222
31/5/2022,0.1865035
30/6/2022,0.54118
31/7/2022,0.923697
31/8/2022,1.675054783
30/9/2022,2.287747143
31/10/2022,2.7269265
30/11/2022,3.520550455
31/12/2022,4.7705865
31/1/2023,3.27118
28/2/2023,2.5319435
31/3/2023,3.213615217
30/4/2023,3.003635882
31/5/2023,4.222143333
30/6/2023,4.711629524
31/7/2023,5.0717085
31/8/2023,4.617261739
30/9/2023,4.887005263
31/10/2023,4.9434925
30/11/2023,5.134105
31/12/2023,5.487823158
31/1/2024,4.756298636
29/2/2024,4.530662105
31/3/2024,4.600349
30/4/2024,4.275724
31/5/2024,4.342222857
30/6/2024,4.556108947
31/7/2024,4.592556364
31/8/2024,4.081499091
30/9/2024,3.888984737
31/10/2024,4.34652
30/11/2024,4.139342857
31/12/2024,4.4633075
31/1/2025,3.990824737
28/2/2025,3.854936
31/3/2025,3.807988095
30/4/2025,3.653433158
31/5/2025,1.466217
30/6/2025,0.683809524
31/7/2025,1.002892727
31/8/2025,1.921808
30/9/2025,3.286595
31/10/2025,3.504627
30/11/2025,2.9628315
31/12/2025,3.100332381
31/1/2026,2.775357619
28/2/2026,2.48224
31/3/2026,2.158087727
30/4/2026,2.338890526
29/5/2026,2.54262
30/6/2026,2.93976
